charClass_pair	char_pairs	hypothetical_examples	isOK	cmnts
w_atom_oar-w_double_bond	b=	Bc1b=cccc1F	q	
w_atom_oar-w_triple_bond	b#	Fc1b#cccc1F	q	
w_atom_oar-w_quadruple_bond	b$	Fc1cccb$c1F	q	
e_atom_oal-w_aromatic_bond	l:	Cl:CCC	q	
w_atom_oar-w_no_bond	b.	c1cccb.Cl	q	
"e_bm_tbe-w_bm_tbi
e_bm_tbe-s_bm_tbe"	"-)
-)"	C(CC(CC)=)CCC	q	
"w_bm_iri-l_ct
w_bm_iri-r_ct
w_bm_tri-l_ct
w_bm_tri-r_ct
e_bm_ire-l_ct
e_bm_ire-r_ct
r_bm_ire-l_ct
r_bm_ire-r_ct
e_bm_tre-l_ct
e_bm_tre-r_ct
r_bm_tre-l_ct
r_bm_tre-r_ct
r_bm_iri-l_ct
r_bm_iri-r_ct
r_bm_tri-l_ct
r_bm_tri-r_ct"	"0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/
0/"	C1/C=C\CCCCC1	"q
y"	
"w_atom_oar-l_ct
w_atom_oar-r_ct"	"b/
b/"	"c1ccccb\c1=C/F
c1ccc\c=b/c1"	"q
q"	"does not affect the structure
seems to be problematic"
"w_atom_oar-w_atom_oal
w_atom_oar-s_atom_oal"	"bB
bB"	"c1cccbB1
c1cccbBr1"	"q
q"	
"w_aromatic_bond-w_atom_oal
w_aromatic_bond-s_atom_oal"	":B
:B"	"C:B
C:Br"	"q
q"	
w_hydro-e_bracket	H]	[CH]	y	
e_charge-e_bracket	-]	[C-]	y	
e_chiral-e_bracket	@]	Br[C@](O)(N)C	y	
s_bracket-w_atom_bar	[b	c1cc[b]cc1	y	
s_bracket-s_atom_bal	[A	[As]CCC	y	
s_bracket-s_atom_bar	[a	[as]1ccccc1	y	
s_bracket-w_atom_bal	[B	[B]CCC	y	
w_atom_bar-e_bracket	b]	…	y	
e_atom_bal-e_bracket	a]	…	y	
e_atom_bar-e_bracket	e]	…	y	
w_atom_bal-e_bracket	B]	…	y	
e_bracket-w_atom_oar	]b	c1[c]bccc1	y	
e_bracket-w_atom_oal	]B	C1[C]BCCC1	y	
w_atom_oar-s_bracket	b[	c1b[c]ccc1	y	
w_atom_oal-s_bracket	B[	c1b[c]ccc1	y	
e_atom_oal-s_bracket	l[	Cl[C]CCC	y	
w_triple_bond-s_bracket	#[	C#[C]C	y	
w_quadruple_bond-s_bracket	$[	C$[C]C	y	
w_aromatic_bond-s_bracket	:[	c1:[c]cccc1	y	
w_no_bond-s_bracket	.[	[Br].CCC.[I]	y	
w_bm_ibi-s_bracket	([	C([C])C	y	
w_bm_tbi-s_bracket	)[	C(I)[C]CCC	y	
e_bracket-w_single_bond	]-	[C]-CCCC	y	
e_bracket-w_triple_bond	]#	[C]#CCC	y	
e_bracket-w_quadruple_bond	]$	[C]$CCC	y	
e_bracket-w_aromatic_bond	]:	c1:[c]:cccc1	y	
e_bracket-w_no_bond	].	[N].CCCC	y	
e_bracket-w_bm_ibi	](	[C](I)CCC	y	
e_bracket-w_bm_tbi	])	C([C])CCC	y	
s_bracket-w_anything	[*	[*]CCC	y	
e_bracket-w_anything	]*	[*]****(I)***	y	
w_anything-s_bracket	*[	*[C]*CC	y	
w_anything-e_bracket	*]	[*]CCC	y	
w_hydro-s_class	H:	BrCc1cccc[BH:9]1CF	y	
w_atom_oar-w_atom_oar	bb	c1bbccc1	y	
w_atom_oal-w_atom_oar	Bb	Bb1cccc1	y	
e_atom_oal-w_atom_oar	lb	Clb1ccccc1	y	
w_anything-w_atom_oar	*b	*b1cccc1	y	
w_triple_bond-w_atom_oar	#b	F#c1ccccc1I	y	
w_quadruple_bond-w_atom_oar	$b	F$c1ccccc1I	y	
w_aromatic_bond-w_atom_oar	:b	c1:b:cccc1	y	
w_no_bond-w_atom_oar	.b	Cl.b1ccccc1F	y	
w_bm_ibi-w_atom_oar	(b	CC(b1ccccc1)CCC	y	
w_bm_tbi-w_atom_oar	)b	c1c(F)bccc1	y	
w_atom_oar-w_anything	b*	c1b*ccc1	y	
w_atom_oal-w_anything	B*	CB*CCCCF	y	
e_atom_oal-w_anything	l*	CCl*CCCCF	y	
w_atom_oal-w_double_bond	B=	O=CCCF	y	
e_atom_oal-w_double_bond	l=	Cl=CCC	y	
w_atom_oal-w_triple_bond	B#	CB#CCCF	y	
e_atom_oal-w_triple_bond	l#	I#CCCBr	y	
w_atom_oal-w_quadruple_bond	B$	B$CCCC	y	
e_atom_oal-w_quadruple_bond	l$	Cl$CCC	y	
w_atom_oal-w_no_bond	B.	CCB.Cl	y	
e_atom_oal-w_no_bond	l.	CCCI.CCB	y	
"w_isotope-s_atom_bal
r_isotope-s_atom_bal"	"0A
0A"	[16O]	y	
